user_id,signup_date,city_tier,segment,preferred_device,lifetime_sessions,lifetime_orders,first_order_date,last_order_date,total_spend,repeat_rate_flag,user_value_band
U000001,2025-07-16,1,premium,mobile,3.0,0.0,,,0.0,False,No Purchase
U000002,2025-12-29,3,regular,mobile,5.0,1.0,2025-11-14 09:34:01,2025-11-14 09:34:01,11632.7,False,High
U000003,2025-11-26,3,value,mobile,2.0,0.0,,,0.0,False,No Purchase
U000004,2025-09-01,2,value,mobile,5.0,1.0,2025-11-06 14:06:09,2025-11-06 14:06:09,9153.61,False,High
U000005,2025-10-06,1,regular,web,2.0,0.0,,,0.0,False,No Purchase
U000006,2025-11-09,1,value,web,3.0,0.0,,,0.0,False,No Purchase
U000007,2025-06-28,2,value,web,2.0,0.0,,,0.0,False,No Purchase
U000008,2025-10-06,2,premium,mobile,3.0,0.0,,,0.0,False,No Purchase
U000009,2025-11-24,2,value,mobile,3.0,0.0,,,0.0,False,No Purchase
U000010,2025-08-01,1,premium,mobile,5.0,0.0,,,0.0,False,No Purchase
U000011,2025-09-24,2,regular,web,4.0,0.0,,,0.0,False,No Purchase
U000012,2025-10-13,3,regular,web,5.0,0.0,,,0.0,False,No Purchase
U000013,2025-11-24,2,regular,mobile,3.0,1.0,2025-12-04 17:09:01,2025-12-04 17:09:01,5763.81,False,High
U000014,2026-01-11,2,value,mobile,3.0,0.0,,,0.0,False,No Purchase
U000015,2025-12-18,1,regular,web,5.0,0.0,,,0.0,False,No Purchase
U000016,2025-10-31,2,value,web,1.0,0.0,,,0.0,False,No Purchase
U000017,2025-10-24,2,premium,web,4.0,2.0,2025-11-09 03:06:16,2026-01-15 05:17:35,18172.43,True,High
U000018,2025-10-28,3,value,web,2.0,0.0,,,0.0,False,No Purchase
U000019,2025-10-15,3,value,web,5.0,1.0,2025-12-21 04:16:33,2025-12-21 04:16:33,7555.56,False,High
U000020,2025-07-05,3,regular,web,0.0,0.0,,,0.0,False,No Purchase
U000021,2025-11-17,3,regular,mobile,4.0,0.0,,,0.0,False,No Purchase
U000022,2025-11-20,3,regular,web,2.0,0.0,,,0.0,False,No Purchase
U000023,2025-10-09,3,regular,web,4.0,0.0,,,0.0,False,No Purchase
U000024,2025-12-23,1,value,web,3.0,0.0,,,0.0,False,No Purchase
U000025,2025-11-11,1,regular,mobile,5.0,0.0,,,0.0,False,No Purchase
U000026,2025-09-07,2,value,web,2.0,0.0,,,0.0,False,No Purchase
U000027,2025-06-27,2,value,web,1.0,0.0,,,0.0,False,No Purchase
U000028,2025-07-05,1,value,web,4.0,0.0,,,0.0,False,No Purchase
U000029,2025-09-05,3,value,mobile,3.0,0.0,,,0.0,False,No Purchase
U000030,2025-09-28,2,value,mobile,2.0,0.0,,,0.0,False,No Purchase
U000031,2025-07-28,2,regular,web,3.0,0.0,,,0.0,False,No Purchase
U000032,2025-08-02,1,value,web,5.0,0.0,,,0.0,False,No Purchase
U000033,2025-08-10,2,value,web,7.0,0.0,,,0.0,False,No Purchase
U000034,2025-12-04,1,regular,mobile,6.0,0.0,,,0.0,False,No Purchase
U000035,2025-12-02,3,value,mobile,3.0,0.0,,,0.0,False,No Purchase
U000036,2025-09-11,2,regular,web,2.0,0.0,,,0.0,False,No Purchase
U000037,2025-07-29,3,premium,web,4.0,1.0,2025-11-29 23:36:12,2025-11-29 23:36:12,4987.15,False,High
U000038,2025-07-16,2,regular,mobile,2.0,0.0,,,0.0,False,No Purchase
U000039,2025-07-11,2,premium,mobile,3.0,0.0,,,0.0,False,No Purchase
U000040,2025-09-13,2,value,web,3.0,1.0,2026-01-18 07:26:40,2026-01-18 07:26:40,7716.68,False,High
U000041,2025-07-03,3,value,web,6.0,1.0,2025-11-06 12:43:35,2025-11-06 12:43:35,7521.55,False,High
U000042,2025-09-01,3,regular,web,5.0,1.0,2026-01-11 04:13:19,2026-01-11 04:13:19,595.56,False,High
U000043,2026-01-11,1,regular,mobile,3.0,0.0,,,0.0,False,No Purchase
U000044,2025-10-08,3,regular,mobile,1.0,0.0,,,0.0,False,No Purchase
U000045,2025-12-13,1,value,mobile,2.0,0.0,,,0.0,False,No Purchase
U000046,2025-07-20,3,regular,mobile,2.0,0.0,,,0.0,False,No Purchase
U000047,2025-08-18,1,regular,web,4.0,1.0,2026-01-17 14:03:09,2026-01-17 14:03:09,4842.26,False,High
U000048,2026-01-08,2,value,web,5.0,0.0,,,0.0,False,No Purchase
U000049,2025-09-11,3,value,web,5.0,0.0,,,0.0,False,No Purchase
U000050,2025-11-06,1,premium,mobile,3.0,0.0,,,0.0,False,No Purchase
U000051,2026-01-14,2,value,mobile,4.0,0.0,,,0.0,False,No Purchase
U000052,2025-10-17,2,regular,web,3.0,0.0,,,0.0,False,No Purchase
U000053,2025-08-26,1,regular,web,5.0,1.0,2025-11-26 05:37:14,2025-11-26 05:37:14,4816.43,False,High
U000054,2025-10-13,3,regular,mobile,3.0,0.0,,,0.0,False,No Purchase
U000055,2025-07-04,3,regular,mobile,1.0,0.0,,,0.0,False,No Purchase
U000056,2025-07-17,3,premium,mobile,2.0,0.0,,,0.0,False,No Purchase
U000057,2025-06-24,2,value,web,4.0,1.0,2025-12-21 11:28:23,2025-12-21 11:28:23,3360.75,False,High
U000058,2025-12-26,2,value,mobile,4.0,1.0,2025-11-30 03:40:46,2025-11-30 03:40:46,13218.46,False,High
U000059,2025-11-11,1,regular,mobile,2.0,0.0,,,0.0,False,No Purchase
U000060,2025-08-25,1,regular,mobile,5.0,0.0,,,0.0,False,No Purchase
U000061,2025-08-08,1,value,mobile,2.0,0.0,,,0.0,False,No Purchase
U000062,2025-11-13,3,value,mobile,3.0,0.0,,,0.0,False,No Purchase
U000063,2026-01-02,3,value,mobile,5.0,0.0,,,0.0,False,No Purchase
U000064,2025-08-25,3,value,mobile,4.0,0.0,,,0.0,False,No Purchase
U000065,2025-08-29,2,value,web,5.0,1.0,2025-12-01 23:31:23,2025-12-01 23:31:23,2272.9,False,High
U000066,2025-12-19,2,premium,web,5.0,1.0,2025-12-14 09:32:12,2025-12-14 09:32:12,18171.94,False,High
U000067,2025-12-28,2,value,mobile,3.0,1.0,2025-10-28 09:25:31,2025-10-28 09:25:31,14428.02,False,High
U000068,2026-01-01,2,premium,mobile,0.0,0.0,,,0.0,False,No Purchase
