order_id,session_id,user_id,order_ts,gross_amount,discount_amount,shipping_amount,net_amount,payment_method,total_items,distinct_products,top_category,category_mix,average_rating,total_cost,margin_proxy,log_net_amount,is_revenue_outlier,net_amount_capped
O0000001,S0000015,U000739,2026-01-12T14:51:51,4145.06,49.97,0.0,4095.09,UPI,5,3,Sports,"{'Sports': 1, 'Home': 1, 'Books': 1}",4.233333333333333,1463.71,2631.38,8.317788139134198,False,4095.09
O0000002,S0000060,,2025-11-19T07:56:21,4302.5,151.09,0.0,4151.41,NetBanking,5,3,Books,"{'Books': 1, 'Sports': 1, 'Fashion': 1}",3.9,1730.09,2421.3199999999997,8.331444167562024,False,4151.41
O0000003,S0000073,,2025-12-08T05:40:42,7199.78,596.95,0.0,6602.83,NetBanking,2,1,Books,{'Books': 1},4.1,2251.34,4351.49,8.795405062734128,False,6602.83
O0000004,S0000081,U001896,2025-12-09T11:00:54,1262.26,75.4,117.27,1304.13,Wallet,2,1,Electronics,{'Electronics': 1},4.9,307.25,996.8800000000001,7.174057931653602,False,1304.13
O0000005,S0000084,U002032,2025-11-01T02:02:38,13486.98,1087.51,0.0,12399.47,UPI,7,4,Sports,"{'Sports': 3, 'Fashion': 1}",4.1,5195.13,7204.339999999999,9.425489654100625,False,12399.47
O0000006,S0000099,U001732,2025-11-01T07:42:33,15390.66,1308.74,0.0,14081.92,COD,2,1,Beauty,{'Beauty': 1},3.8,4804.17,9277.75,9.55271799457409,False,14081.92
O0000007,S0000108,U000900,2025-10-25T19:37:15,8550.28,662.5,0.0,7887.78,Card,6,3,Fashion,"{'Fashion': 2, 'Beauty': 1}",4.3999999999999995,3174.42,4713.36,8.973196775775072,False,7887.78
O0000008,S0000129,U000899,2026-01-11T12:40:27,4714.45,346.55,0.0,4367.9,NetBanking,4,2,Fashion,"{'Fashion': 1, 'Sports': 1}",3.9000000000000004,1593.56,2774.3399999999997,8.382266540156644,False,4367.9
O0000009,S0000154,,2026-01-04T13:54:35,7305.27,800.62,0.0,6504.65,Wallet,4,2,Beauty,"{'Beauty': 1, 'Electronics': 1}",3.8499999999999996,2569.37,3935.2799999999997,8.780426309090672,False,6504.65
O0000010,S0000165,U000486,2025-12-15T13:59:08,7847.5,429.33,0.0,7418.17,Wallet,4,2,Fashion,"{'Fashion': 1, 'Beauty': 1}",4.55,1976.9,5441.27,8.911822470066372,False,7418.17
O0000011,S0000170,U000601,2025-10-26T20:08:08,5515.6,593.48,0.0,4922.12,Card,5,4,Sports,"{'Sports': 2, 'Electronics': 1, 'Fashion': 1}",3.9,2588.98,2333.14,8.501697754841992,False,4922.12
O0000012,S0000194,U001883,2025-12-27T19:04:46,5325.84,83.63,0.0,5242.21,Card,5,3,Beauty,{'Beauty': 3},3.9,2074.96,3167.25,8.564689185174956,False,5242.21
O0000013,S0000199,,2025-12-05T18:52:42,1175.83,150.72,73.49,1098.6,Wallet,1,1,Books,{'Books': 1},4.2,754.73,343.8699999999999,7.00270175629109,False,1098.6
O0000014,S0000210,,2025-12-24T13:48:46,6381.79,679.72,0.0,5702.07,COD,5,3,Home,"{'Home': 2, 'Sports': 1}",3.9333333333333336,2003.92,3698.1499999999996,8.648759905322839,False,5702.07
O0000015,S0000212,U002058,2025-12-14T08:53:35,6305.04,442.11,0.0,5862.93,UPI,6,3,Electronics,"{'Electronics': 2, 'Fashion': 1}",3.9333333333333336,2492.7799999999997,3370.1500000000005,8.676575306251037,False,5862.93
O0000016,S0000214,U000816,2025-12-09T17:08:41,12398.07,916.77,0.0,11481.3,Card,6,4,Sports,"{'Sports': 3, 'Electronics': 1}",4.475,4032.5699999999997,7448.73,9.348561998238546,False,11481.3
O0000017,S0000232,U001851,2025-10-30T01:24:17,9975.91,336.48,0.0,9639.43,Card,9,4,Home,"{'Home': 2, 'Sports': 1, 'Beauty': 1}",3.725,2480.87,7158.56,9.173720992418911,False,9639.43
O0000018,S0000233,U002028,2026-01-16T21:31:59,10736.71,0.0,0.0,10736.71,Card,6,3,Electronics,"{'Electronics': 2, 'Beauty': 1}",4.233333333333333,2862.7799999999997,7873.929999999999,9.281517123726408,False,10736.71
O0000019,S0000253,U001569,2025-10-24T15:16:41,14907.5,673.46,0.0,14234.04,Card,8,3,Books,"{'Books': 1, 'Fashion': 1, 'Home': 1}",4.1000000000000005,3280.34,10953.7,9.563461809683602,False,14234.04
O0000020,S0000367,U000257,2026-01-16T21:38:10,2492.46,157.43,0.0,2335.03,Wallet,2,1,Electronics,{'Electronics': 1},5.0,711.86,1623.17,7.756208186331407,False,2335.03
O0000021,S0000369,U000478,2025-12-04T00:18:37,7310.93,543.87,0.0,6767.06,UPI,5,2,Books,"{'Books': 1, 'Sports': 1}",4.15,1562.02,5205.040000000001,8.81996976649499,False,6767.06
O0000022,S0000381,U001985,2026-01-01T11:04:40,10156.76,1010.37,0.0,9146.39,COD,8,4,Electronics,"{'Electronics': 2, 'Books': 1, 'Sports': 1}",4.0,3267.5699999999997,5878.82,9.121223871677577,False,9146.39
