session_id,user_id,start_ts,device,channel,campaign_id,variant,is_new_user,add_to_cart,begin_checkout,landing_view,payment_attempt,product_view,purchase,has_product_view,has_add_to_cart,has_begin_checkout,has_payment_attempt,has_purchase,session_duration_sec,time_to_cart_sec,time_to_checkout_sec,time_to_purchase_sec,gross_amount,discount_amount,net_amount
S0000001,U001627,2025-10-26 15:56:31,web,organic,C025,a,1,,,2025-10-26 15:57:00,,,,False,False,False,False,False,,,,,0.0,0.0,0.0
S0000002,U001038,2025-12-09 21:56:53,mobile,paid_social,C037,nan,0,,,2025-12-09 21:57:20,,,,False,False,False,False,False,,,,,0.0,0.0,0.0
S0000003,,2025-11-24 21:24:21,web,organic,C034,nan,0,,,2025-11-24 21:24:50,,2025-11-24 21:25:13,,True,False,False,False,False,52.0,,,,0.0,0.0,0.0
S0000004,U001072,2025-12-02 06:51:38,mobile,organic,C013,nan,0,,,2025-12-02 06:53:06,,,,False,False,False,False,False,,,,,0.0,0.0,0.0
S0000005,U001301,2025-11-28 16:03:05,mobile,paid_social,C004,nan,1,,,2025-11-28 16:04:04,,2025-11-28 16:05:44,,True,False,False,False,False,159.0,,,,0.0,0.0,0.0
S0000006,U001775,2025-11-04 05:23:59,web,email,C005,nan,1,,,2025-11-04 05:25:42,,,,False,False,False,False,False,,,,,0.0,0.0,0.0
S0000007,U001565,2025-11-10 06:23:02,web,organic,C009,a,1,,,2025-11-10 06:24:35,,,,False,False,False,False,False,,,,,0.0,0.0,0.0
S0000008,U000613,2025-10-27 06:33:38,mobile,email,C025,nan,0,,,2025-10-27 06:34:59,,2025-10-27 06:36:31,,True,False,False,False,False,173.0,,,,0.0,0.0,0.0
S0000009,U000544,2025-10-31 19:35:34,mobile,organic,C020,nan,0,,,2025-10-31 19:36:50,,2025-10-31 19:37:14,,True,False,False,False,False,100.0,,,,0.0,0.0,0.0
S0000010,,2026-01-17 10:49:44,web,organic,C012,nan,0,,,2026-01-17 10:50:44,,,,False,False,False,False,False,,,,,0.0,0.0,0.0
S0000011,U001420,2025-11-15 14:54:56,web,organic,C008,b,0,,,2025-11-15 14:56:01,,2025-11-15 14:57:15,,True,False,False,False,False,139.0,,,,0.0,0.0,0.0
S0000012,U000809,2025-11-18 01:45:04,mobile,organic,C021,nan,0,,,2025-11-18 01:45:13,,,,False,False,False,False,False,,,,,0.0,0.0,0.0
S0000013,U001845,2025-11-01 21:07:32,web,organic,C039,nan,0,,,2025-11-01 21:07:54,,,,False,False,False,False,False,,,,,0.0,0.0,0.0
S0000014,U000921,2025-12-28 09:43:51,web,paid_social,C031,nan,0,,,2025-12-28 09:45:32,,2025-12-28 09:45:55,,True,False,False,False,False,124.0,,,,0.0,0.0,0.0
S0000015,U000739,2026-01-12 14:43:28,web,email,C011,a,0,2026-01-12 14:46:04,2026-01-12 14:48:03,2026-01-12 14:44:10,2026-01-12 14:49:36,2026-01-12 14:44:34,2026-01-12 14:51:02,True,True,True,True,True,454.0,156.0,275.0,454.0,4145.06,49.97,4095.09
S0000016,U001223,2025-12-31 12:26:14,web,organic,C023,a,0,2025-12-31 12:28:27,,2025-12-31 12:27:07,,2025-12-31 12:27:46,,True,True,False,False,False,133.0,133.0,,,0.0,0.0,0.0
S0000017,U000425,2025-12-15 13:49:34,web,organic,C021,a,0,,,2025-12-15 13:49:49,,2025-12-15 13:49:56,,True,False,False,False,False,22.0,,,,0.0,0.0,0.0
S0000018,U001531,2026-01-02 15:09:33,mobile,search,C033,nan,0,,,2026-01-02 15:10:08,,2026-01-02 15:10:17,,True,False,False,False,False,44.0,,,,0.0,0.0,0.0
S0000019,U001974,2025-11-26 19:42:48,mobile,search,C014,nan,0,,,2025-11-26 19:44:18,,2025-11-26 19:44:59,,True,False,False,False,False,131.0,,,,0.0,0.0,0.0
S0000020,U002080,2026-01-06 19:05:25,web,email,C014,b,0,,,2026-01-06 19:06:45,,,,False,False,False,False,False,,,,,0.0,0.0,0.0
S0000021,U000983,2026-01-01 07:22:36,web,organic,C018,nan,0,,,2026-01-01 07:24:11,,2026-01-01 07:25:31,,True,False,False,False,False,175.0,,,,0.0,0.0,0.0
S0000022,U000592,2025-10-21 14:18:04,mobile,paid_social,C007,nan,0,,,2025-10-21 14:18:14,,2025-10-21 14:19:25,,True,False,False,False,False,81.0,,,,0.0,0.0,0.0
S0000023,U001054,2025-12-04 08:12:41,web,search,C035,b,1,,,2025-12-04 08:13:49,,2025-12-04 08:15:17,,True,False,False,False,False,156.0,,,,0.0,0.0,0.0
S0000024,U000229,2025-11-14 06:08:52,mobile,email,C016,nan,1,,,2025-11-14 06:10:29,,2025-11-14 06:11:19,,True,False,False,False,False,147.0,,,,0.0,0.0,0.0
S0000025,U001470,2025-10-29 04:50:21,web,organic,C035,a,1,,,2025-10-29 04:51:18,,2025-10-29 04:51:50,,True,False,False,False,False,89.0,,,,0.0,0.0,0.0
S0000026,U000944,2026-01-05 14:21:34,mobile,organic,C017,nan,0,2026-01-05 14:25:37,2026-01-05 14:25:57,2026-01-05 14:23:12,2026-01-05 14:27:29,2026-01-05 14:23:58,,True,True,True,True,False,355.0,243.0,263.0,,0.0,0.0,0.0
S0000027,U000269,2025-10-22 03:44:50,web,organic,C028,a,1,,,2025-10-22 03:45:14,,,,False,False,False,False,False,,,,,0.0,0.0,0.0
S0000028,,2025-12-26 03:43:45,mobile,paid_social,C029,nan,0,,,2025-12-26 03:44:43,,,,False,False,False,False,False,,,,,0.0,0.0,0.0
S0000029,U001581,2026-01-18 09:04:16,mobile,search,C032,nan,0,,,2026-01-18 09:04:27,,,,False,False,False,False,False,,,,,0.0,0.0,0.0
S0000030,,2025-12-03 19:44:19,web,paid_social,C028,nan,0,,,2025-12-03 19:46:07,,,,False,False,False,False,False,,,,,0.0,0.0,0.0
S0000031,U000891,2025-11-23 20:27:20,mobile,organic,C028,nan,0,,,2025-11-23 20:28:47,,2025-11-23 20:30:43,,True,False,False,False,False,203.0,,,,0.0,0.0,0.0
S0000032,,2025-12-14 23:10:31,web,organic,C013,nan,0,,,2025-12-14 23:10:53,,,,False,False,False,False,False,,,,,0.0,0.0,0.0
S0000033,U001562,2026-01-01 20:43:24,web,search,C003,nan,0,,,2026-01-01 20:44:46,,2026-01-01 20:45:56,,True,False,False,False,False,152.0,,,,0.0,0.0,0.0
S0000034,U001758,2025-11-12 01:31:13,mobile,organic,C038,nan,0,,,2025-11-12 01:32:12,,,,False,False,False,False,False,,,,,0.0,0.0,0.0
